!case,User Unique ID,n_favorited,n_diversity,n_genres,Read an average of...,Age,Gender,State,Education level,Civil status,Racial identity,Average income,Q1. The app provided some really good recommendations. ,Q2. The items recommended to me are diverse. ,Q3. I am eager to read the book(s) I have put on the reading list ,Q4. The recommendations helped me discover new books which I find interesting. ,Q5: The amount of information available was sufficient to make the decisions ,Q6: I was surprised by some of the recommendations ,Q7. Finding books to put on my reading list was easy ,Q8: My overall satisfaction with my selection of books on my reading list is high ,Q9: The items recommended to me matched my interests. ,Q10. I understood why the items were recommended to me. ,Q11. My overall satisfaction with the app is high. ,"Q12. I like the app, and I would use it again in the future.",wo
case 258,a43b768a-df8a-4f61-9b67-5523df45556a,5,0,5,20 to 50 books in a year,22 - 25 anos,Feminino,Pará,Superior completo,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",5,4,4,4,3,4,5,5,5,5,5,4,
case 264,a7e12fc9-79b0-4cb1-84b0-af94ba8cadc5,5,0,2,20 to 50 books in a year,18 - 21 anos,Feminino,Rio de Janeiro,Superior incompleto,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",5,4,5,5,4,3,4,5,4,5,5,5,
case 310,c3fa2b84-480d-4b3f-9d18-8c1a35a5ff1d,5,0,2,20 to 50 books in a year,30 - 33 anos,Masculino,Espírito Santo,Ensino médio completo,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,5,4,5,5,5,4,5,5,
case 316,c7e39e8d-d55a-423a-a4f3-432591506c28,5,0,4,20 to 50 books in a year,18 - 21 anos,Feminino,Pernambuco,Ensino médio completo,Solteiro(a),Parda,"Até R$ 813,00",5,5,5,4,5,5,5,5,4,3,5,5,
case 329,d190237d-6845-4ba5-b8e8-522e9dd72a86,5,0,3,20 to 50 books in a year,22 - 25 anos,Feminino,Mato Grosso,Superior completo,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",5,4,5,4,4,4,4,5,4,5,5,5,Achei muito legal essa ideia de um aplicativo que faz sujestão de livros
case 385,f95eaafc-029f-41c9-889e-527e87b0184c,5,0,3,20 to 50 books in a year,22 - 25 anos,Feminino,Paraná,Superior completo,Solteiro(a),Branca,"De R$ 5.449,00 a R$ 10.427,00",5,4,5,4,3,3,5,5,5,5,5,4,
case 122,519d3c1a-c598-44ee-89c8-4efddaaa6bd5,5,0,1,50 to 100 books in a year,26 - 29 anos,Feminino,São Paulo,Pós-graduação completa,Solteiro(a),Branca,Prefiro não declarar,3,4,5,4,3,4,3,3,5,4,3,4,
case 071,345d6071-2d96-4076-acec-cb75cdfab48e,5,0,2,50 to 100 books in a year,22 - 25 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",4,4,5,4,4,3,4,4,4,4,4,5,
case 166,6aa05122-5496-40c3-b05b-3a99747dba96,5,0,4,50 to 100 books in a year,22 - 25 anos,Feminino,Piauí,Superior completo,Solteiro(a),Preta,"De R$ 813,00 a R$ 1.805,00",4,4,4,4,4,4,5,4,2,4,3,5,
case 364,e95774f0-1371-403a-a1cf-26fea9f1e8a2,5,0,3,50 to 100 books in a year,26 - 29 anos,Feminino,Rio de Janeiro,Pós-graduação incompleta,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,5,5,2,4,5,5,4,5,5,5,5,
case 081,397f116f-a0b1-4034-8110-036a36a14168,5,0,2,50 to 100 books in a year,22 - 25 anos,Feminino,São Paulo,Superior completo,União Estável,Branca,"De R$ 3.042,00 a R$ 5.449,00",5,5,4,1,5,1,5,5,5,5,5,5,"Único ponto ""negativo"" é que eu não havia lido somente um dos livros recomendados pelo aplicativo, mas como leio muitos livros dos gêneros que escolhi por serem meus gêneros preferidos entendo a seleção que o aplicativo trouxe"
case 093,3ef0b8ca-53a5-41cf-8611-a908e036d40e,5,0,4,50 to 100 books in a year,18 - 21 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Parda,Prefiro não declarar,4,4,5,4,3,5,5,5,5,5,4,5,Queria poder navegar no app.
case 109,48ef189b-040c-4fbb-b5d0-40e195308860,5,0,5,50 to 100 books in a year,Mais de 40 anos,Feminino,Rio Grande do Sul,Pós-graduação completa,Casado(a),Branca,Prefiro não declarar,5,5,5,5,4,2,5,5,5,5,5,5,"Os clássicos entre eles os trabalhadores do mar, fantasma da opera "
case 162,69518684-c35e-49d3-85b3-04b3232a9df2,5,0,3,50 to 100 books in a year,18 - 21 anos,Feminino,Rio Grande do Sul,Ensino médio completo,Solteiro(a),Prefiro não declarar,"De R$ 813,00 a R$ 1.805,00",5,5,5,3,3,1,5,5,5,5,4,4,
case 194,79c2edab-c291-49ca-9c3c-bb6e285df22b,5,0,4,50 to 100 books in a year,18 - 21 anos,Feminino,Ceará,Ensino médio completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,4,5,5,3,4,4,5,4,4,5,5,
case 209,81f5e0db-5226-4505-aa2d-8202366f6231,5,0,4,50 to 100 books in a year,18 - 21 anos,Feminino,Pernambuco,Ensino médio completo,Solteiro(a),Amarela,"De R$ 1.805,00 a R$ 3.042,00",4,5,5,4,4,4,5,5,5,4,4,5,
case 287,b785c0c3-7429-46dc-815d-9cb5702258bc,5,0,2,50 to 100 books in a year,22 - 25 anos,Feminino,Distrito Federal,Superior completo,Solteiro(a),Branca,"De R$ 5.449,00 a R$ 10.427,00",4,5,5,3,5,5,5,5,5,4,5,5,
case 039,203aabfa-9ee5-4ea2-9d95-7ceb9900db16,5,0,3,6 to 20 books in a year,26 - 29 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Branca,,4,4,5,5,5,5,4,2,4,4,4,5,Não dava pra trocar de livro 
case 042,22b2fec8-017a-40c4-9868-2183261cf04e,5,0,3,6 to 20 books in a year,30 - 33 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Branca,"Acima de R$ 10.427,00",2,4,2,2,2,3,1,2,2,2,2,2,Ele da umas sugestões muito aleatórias...e que não tem a ver com oque vc assinala antes...algumas sim...mas muitas não tem a ver...
