!case,User Unique ID,n_favorited,n_diversity,n_genres,Read an average of...,Age,Gender,State,Education level,Civil status,Racial identity,Average income,Q1. The app provided some really good recommendations. ,Q2. The items recommended to me are diverse. ,Q3. I am eager to read the book(s) I have put on the reading list ,Q4. The recommendations helped me discover new books which I find interesting. ,Q5: The amount of information available was sufficient to make the decisions ,Q6: I was surprised by some of the recommendations ,Q7. Finding books to put on my reading list was easy ,Q8: My overall satisfaction with my selection of books on my reading list is high ,Q9: The items recommended to me matched my interests. ,Q10. I understood why the items were recommended to me. ,Q11. My overall satisfaction with the app is high. ,"Q12. I like the app, and I would use it again in the future.",wo
case 174,6e494bbf-cb67-4106-b604-db66e4f4f382,5,1,2,50 to 100 books in a year,18 - 21 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Branca,Prefiro não declarar,4,3,4,3,4,4,4,5,5,5,5,5,
case 190,7933ffbb-d545-40fe-a465-ba6052a2dca8,5,1,2,50 to 100 books in a year,26 - 29 anos,Feminino,Rio Grande do Sul,Ensino médio incompleto,Casado(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,5,4,5,5,5,5,5,5,"O aplicativo é de fácil uso, a interface dele é muito agradável. Vou recomendar o uso dele a minha amigas. Muito sucesso a vcs."
case 213,86fe13e0-5de1-4c65-8ec7-98f65d07df56,5,1,3,50 to 100 books in a year,18 - 21 anos,Feminino,Piauí,Superior incompleto,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",5,5,5,4,5,5,5,5,5,5,5,5,"Os livros recomendados são ótimos e todos se encaixaram no meu nicho de leitura. No entanto, havia vários livros que eu não conhecia ainda. Ótimas indicações e que vão além do que já é conhecido e comum. Gostei bastante!"
case 356,e301d14d-6e67-49e8-8682-2cefd86711d5,5,1,3,50 to 100 books in a year,18 - 21 anos,Feminino,Rio Grande do Sul,Superior incompleto,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,5,5,5,5,5,5,5,5,
case 368,ed0bb8b1-c4ce-415f-a13b-e88937af19c7,5,1,3,50 to 100 books in a year,18 - 21 anos,Feminino,Bahia,Ensino médio completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,4,5,4,5,3,5,5,5,5,5,5,
case 375,f4be172a-6a6b-4b27-ae5f-1c0eeae8909c,5,1,2,50 to 100 books in a year,22 - 25 anos,Feminino,Rio de Janeiro,Superior incompleto,Solteiro(a),Parda,"De R$ 3.042,00 a R$ 5.449,00",5,5,5,4,4,4,4,5,5,5,5,5,
case 381,f6a0cf76-ee92-4c9c-ae16-3194a3c8af7d,5,1,2,50 to 100 books in a year,18 - 21 anos,Feminino,Ceará,Ensino médio completo,Solteiro(a),Preta,"De R$ 813,00 a R$ 1.805,00",5,4,5,5,4,4,5,5,5,5,5,5,
case 016,0b77ae7e-2c76-4c0c-8898-3993a0f27ab2,5,1,4,6 to 20 books in a year,18 - 21 anos,Feminino,Rio Grande do Sul,Superior incompleto,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",4,5,4,4,3,4,2,2,4,5,4,4,
case 217,8935a9ad-b36e-4066-bfb8-f5e72855fa29,5,1,4,6 to 20 books in a year,26 - 29 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",1,2,3,4,1,4,2,2,2,2,2,4,Achei poucas opções de gênero 
case 317,c894dd7c-3f48-498a-b930-aea406444544,5,1,3,6 to 20 books in a year,22 - 25 anos,Feminino,Rio de Janeiro,Superior incompleto,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",3,5,3,2,3,4,3,2,3,3,3,3,"O app poderia ter opção se busca por autores, a sugestão ser mais precisa em relação a oq vc já leu. Porém de resto ele é muito bom "
case 321,cbc2b29a-6467-44ac-9433-c98a6c976f12,5,1,5,6 to 20 books in a year,Mais de 40 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Preta,"De R$ 1.805,00 a R$ 3.042,00",4,5,3,4,3,4,2,2,1,3,4,4,
case 036,1f5a6cab-8da5-4eeb-a346-938dbfab33bc,5,1,4,6 to 20 books in a year,18 - 21 anos,Masculino,Alagoas,Superior incompleto,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",4,4,5,4,2,3,2,3,2,4,5,5,
case 236,97859b99-8ad1-4f94-a283-735fb69699fa,5,1,3,6 to 20 books in a year,18 - 21 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",5,4,4,3,3,4,5,3,5,5,5,5,
case 245,9c173db0-5c8b-4f15-8b1e-be8c960f12d8,5,1,3,6 to 20 books in a year,22 - 25 anos,Feminino,Rio de Janeiro,Superior incompleto,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,4,5,1,3,3,4,3,5,5,5,5,
case 072,3528d45f-08e5-45f0-816d-428145780488,5,1,5,6 to 20 books in a year,26 - 29 anos,Feminino,Rio Grande do Sul,Superior incompleto,União Estável,Branca,Prefiro não declarar,5,5,4,4,5,4,5,4,5,5,5,5,
case 116,4db44d81-66c1-4d08-ab97-b7ab7024ccf1,5,1,1,6 to 20 books in a year,22 - 25 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Branca,Prefiro não declarar,4,4,5,3,5,5,5,4,4,3,5,5,
case 188,780110e5-1252-44a3-b3c1-4ef2fb73cb2b,5,1,4,6 to 20 books in a year,18 - 21 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,5,5,4,5,3,4,4,4,4,4,5,
case 195,7a005c87-13a3-4262-a7d9-613154c069ab,5,1,3,6 to 20 books in a year,30 - 33 anos,Feminino,Santa Catarina,Superior completo,União Estável,Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,4,5,4,5,4,4,2,4,4,
case 204,7f954b77-0d6e-4ddb-ace3-8457527e6b81,5,1,1,6 to 20 books in a year,30 - 33 anos,Feminino,Paraná,Superior incompleto,Casado(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",4,3,4,4,3,2,4,4,4,4,3,3,"Lista curta de opções para leitura do genero, alguns livros já havia lido, outros nunca tinha ouvido falar, me baseie nos meus favoritos mesmo."
case 233,95892768-219d-45a8-a477-d46f8a00b266,5,1,3,6 to 20 books in a year,18 - 21 anos,Feminino,Rio de Janeiro,Ensino médio incompleto,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",5,4,5,5,4,3,4,4,5,4,5,5,Os livros que foram recomendados para mim são todos parecidos e não teve outras gêneros que marquei
case 249,9ddb8191-e675-4b1c-b3d1-65030f06973d,5,1,5,6 to 20 books in a year,26 - 29 anos,Feminino,Pernambuco,Superior completo,Outro,Branca,"Até R$ 813,00",5,5,5,5,5,4,5,4,5,5,4,5,
case 266,aa540903-2cbc-4c57-b4a7-83bedf6a52fe,5,1,1,6 to 20 books in a year,22 - 25 anos,Feminino,Tocantins,Superior incompleto,Solteiro(a),Parda,Prefiro não declarar,5,4,5,4,4,3,4,4,4,2,4,4,
case 294,bbc29c39-1a9a-45dd-8246-ccf55bd14e08,5,1,3,6 to 20 books in a year,22 - 25 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",4,5,4,4,2,5,5,4,4,4,5,5,"Poderia ter mais ambas com outras ferramentas, tipo livros lidos depois do recomendáveis e  resenhas dos livros  recomendados inscritos por usuários ( mas entendo que esta em teste). "
case 301,bf171b89-2d7a-4539-9ac7-f9c71c646b01,5,1,2,6 to 20 books in a year,26 - 29 anos,Feminino,Minas Gerais,Pós-graduação incompleta,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,5,5,2,2,3,1,4,4,3,2,3,"A recomendação foi legal, porém pra encontrar outras recomendações que me agradaria, eu tinha q ficar saindo e entrando no app para atualizar os livros. Seria interessante colocar um rolar maior de livros na mesma tela."
case 320,c9fb1f45-3a04-423d-a366-13c00b1fcb77,5,1,5,6 to 20 books in a year,34 - 37 anos,Feminino,Rio Grande do Sul,Superior completo,União Estável,Preta,"De R$ 1.805,00 a R$ 3.042,00",4,4,5,4,4,3,5,4,5,4,4,4,
case 322,cbd81d02-f174-4ed3-bf2e-2d204d1e774b,5,1,3,6 to 20 books in a year,22 - 25 anos,Feminino,Minas Gerais,Superior completo,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",3,4,4,5,5,5,4,4,3,3,4,5,
case 332,d3a2372b-8b30-4f03-a43a-3dbbfa570110,5,1,3,6 to 20 books in a year,22 - 25 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",4,5,3,3,4,3,3,4,2,4,4,3,
case 353,e2695255-bed2-49ed-9aaa-a5918c8299b0,5,1,4,6 to 20 books in a year,26 - 29 anos,Feminino,Pernambuco,Ensino médio completo,Solteiro(a),Parda,"De R$ 3.042,00 a R$ 5.449,00",5,5,5,4,5,4,5,4,5,4,5,5,"Foram incríveis as recomendações. São livros que eu pretendo muito ler, e conheci 1 que eu já me apaixonei de cara e eu nem conhecia. Bom trabalho com o aplicativo, espero que vocês consigam elevar ainda mais o nível dele, porque é bem legal. "
case 392,fd4f16c1-123c-40c3-a0b4-fdb7c5cbb84b,5,1,2,6 to 20 books in a year,18 - 21 anos,Feminino,Rio de Janeiro,Ensino médio completo,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",4,5,4,4,5,3,2,4,4,5,4,5,"Minha única ""reclamação"" é que eu achei bem limitado as recomendações. Eu coloquei como interesse romance e fantasia e de fato, todos eram de um desses gêneros ou os dois. Mas nas opções por exemplo, tinha Trono de Vidro, mas nenhum dos livros que apareceu de Trono de Vidro (uns 3) era de fato o primeiro. E com limitado, quero dizer que eu achei que eram poucas opções sabe? Queria que tivessem mais :( E também seria legal também se tivesse a opção de querer recomendações de livros em inglês! Gostei bastante do estilo do aplicativo e de como seguiu direitinho os gêneros que eu tinha colocado, seria legal se aparecesse mais opções!"
case 054,2d17818a-3f0f-4bc4-bef2-aa8cf6bb0caa,5,1,3,6 to 20 books in a year,22 - 25 anos,Feminino,Ceará,Superior incompleto,Separado (a),Branca,"De R$ 813,00 a R$ 1.805,00",5,5,5,4,5,4,5,5,5,4,5,5,Minha experiência com o app foi maravilhosa 😁 amei as recomendações.
case 062,31c107f2-2f5a-465a-a57b-96689de9a765,5,1,5,6 to 20 books in a year,18 - 21 anos,Feminino,Rio Grande do Sul,Ensino médio incompleto,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",4,4,5,5,5,5,5,5,5,4,5,5,
case 064,320a0058-905c-4fbb-9acf-bf2855c09e50,5,1,3,6 to 20 books in a year,18 - 21 anos,Feminino,Rio de Janeiro,Ensino médio completo,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",5,4,5,5,5,5,5,5,5,5,5,5,
case 075,36ef3626-ac05-47d4-b3c4-670ec9455530,5,1,2,6 to 20 books in a year,22 - 25 anos,Feminino,Paraná,Superior incompleto,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,4,5,5,5,5,5,5,5,"Amei os livros que me indicaram, e o app é incrível. "
case 128,54dc24f6-5cc1-436e-9ebb-8937d224842f,5,1,3,6 to 20 books in a year,18 - 21 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",3,4,5,4,3,4,3,5,5,4,5,5,
case 198,7c5d8c69-3c57-4e62-b2c2-ca0b826ead08,5,1,5,6 to 20 books in a year,26 - 29 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Parda,"Até R$ 813,00",5,5,5,5,5,4,4,5,5,5,5,5,
case 200,7d5648da-639f-4b19-9cd0-4d4c3b693cf4,5,1,1,6 to 20 books in a year,26 - 29 anos,Masculino,Pernambuco,Superior incompleto,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",5,5,5,4,5,3,4,5,5,5,5,5,
case 205,801bce01-8542-4e4c-965b-c79d7103e019,5,1,3,6 to 20 books in a year,18 - 21 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,5,4,5,4,5,4,5,5,5,5,5,"Gostei muito de navegar no aplicativo, gostei das indicações e queria poder escolher opções que me interessassem mais e que as informações fossem um pouco mais relevantes.
Mas no geral, gostei e com certeza gostaria de usar novamente."
case 215,8765e5f0-8ecc-4f42-87ac-19dd9d00594d,5,1,4,6 to 20 books in a year,18 - 21 anos,Feminino,Mato Grosso do Sul,Superior incompleto,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",5,5,5,5,5,4,5,5,5,5,5,5,
case 220,8b19a565-34cb-4684-8d61-512975800bc0,5,1,3,6 to 20 books in a year,26 - 29 anos,Feminino,São Paulo,Superior incompleto,Casado(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,4,5,5,5,5,5,5,5,
case 223,8d021413-bb09-4265-91d2-f8abfc8b4bdc,5,1,3,6 to 20 books in a year,26 - 29 anos,Feminino,Paraná,Ensino médio completo,Casado(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,5,4,5,5,5,5,5,5,"Eu não conhecia o site, tive conhecimento por e-mail mas como amo livros ( porque ler não é só um hobby, ler é vida😍) aceitei responder o formulário. "
case 335,d5ca9bd0-7bff-47c2-ae17-1c552f633187,5,1,5,6 to 20 books in a year,18 - 21 anos,Feminino,Sergipe,Superior incompleto,Solteiro(a),Preta,"Até R$ 813,00",5,4,5,5,5,4,3,5,5,5,5,5,"Gostei muito das recomendações, não vejo a hora de ler os livros que estavam lá."
case 351,e18b59eb-4ea4-402c-a0f5-7d2e24c33190,5,1,5,6 to 20 books in a year,22 - 25 anos,Feminino,Mato Grosso do Sul,Superior incompleto,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,5,5,4,5,4,5,5,5,4,4,4,
case 354,e2d8ae4e-ba4f-478c-88a2-d43d384b6a80,5,1,4,6 to 20 books in a year,26 - 29 anos,Feminino,Paraíba,Superior incompleto,Solteiro(a),Preta,"De R$ 1.805,00 a R$ 3.042,00",5,4,5,5,4,2,5,5,5,5,5,5,"Tinha muita recomendação do mesmo gênero, só deveria ter mais recomendações já que para pessoa que gostam de ler mais de um gênero poderia ter mais opções de escolha."
case 112,4b57b7a0-1899-462f-b5e6-468fb05c453a,5,1,3,More than 100 books in a year,26 - 29 anos,Feminino,São Paulo,Ensino médio completo,Casado(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,4,5,4,2,2,1,4,4,2,2,5,
case 214,8716e754-5d68-484c-9da2-2c060a675e6d,5,1,2,More than 100 books in a year,22 - 25 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Branca,Prefiro não declarar,4,4,5,5,4,1,4,4,4,4,4,5,"Achei o aplicativo muito legal, assim como a ideia por trás, é gostaria muito que tivessem livros internacionais também no app, ajudaria muito achar livros de fantasia "
case 262,a5ebff9e-fece-4a57-a0f4-287b2abeac95,5,1,2,More than 100 books in a year,22 - 25 anos,Feminino,Bahia,Pós-graduação completa,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",5,4,3,5,5,5,5,4,3,4,4,5,"Vergonha
Eleanor e Grey
é assim que acaba 
mil beijos de garoto"
case 156,654780dd-786e-47b3-a85b-27d7804a294c,5,1,2,More than 100 books in a year,26 - 29 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",4,4,4,4,5,5,5,5,4,4,4,5,
case 169,6b6f2b03-151b-41ca-bc87-b859b963e394,5,1,4,More than 100 books in a year,18 - 21 anos,Feminino,Rio de Janeiro,Ensino médio completo,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",4,2,5,4,3,4,5,5,4,5,5,4,
case 380,f694386a-3983-4a37-9e41-276b22dda250,6,1,2,20 to 50 books in a year,18 - 21 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,5,5,4,5,3,5,5,5,3,4,5,
case 014,0a005a38-9e9c-489d-b82b-11b7070d9337,6,1,1,50 to 100 books in a year,22 - 25 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",4,5,4,5,5,5,4,4,5,5,4,4,
case 211,8326d6bd-f10b-4790-9585-e54df48afa74,2,2,4,1 to 5 books in a year,22 - 25 anos,Feminino,Rio Grande do Sul,Superior completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",4,3,4,3,2,3,3,2,2,1,3,1,
case 319,c9799bec-73fe-4f3a-9c2f-109d742ac86b,2,2,2,1 to 5 books in a year,22 - 25 anos,Feminino,Santa Catarina,Ensino médio completo,Casado(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,5,4,5,2,4,5,5,5,4,4,4,
case 134,57cafb8f-e241-4ba9-9b69-73f013668267,4,2,2,1 to 5 books in a year,30 - 33 anos,Feminino,São Paulo,Ensino médio completo,Casado(a),Branca,"De R$ 813,00 a R$ 1.805,00",4,5,5,5,4,5,5,4,4,4,5,5,
case 104,4641465b-d256-4329-a3d1-a4b86201f3c4,4,2,3,20 to 50 books in a year,18 - 21 anos,Feminino,Paraná,Ensino médio completo,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",4,5,4,3,4,3,2,4,3,4,4,5,
case 298,bdc2291a-7bc0-4635-b222-13dc9a257916,4,2,3,20 to 50 books in a year,30 - 33 anos,Feminino,Rio Grande do Sul,Ensino médio completo,União Estável,Parda,"De R$ 3.042,00 a R$ 5.449,00",4,5,4,5,5,4,4,4,4,4,5,5,
case 152,62ee80ea-0c21-45e7-9edf-944902495010,4,2,4,6 to 20 books in a year,22 - 25 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,5,4,2,4,4,2,2,2,2,4,4,
case 363,e717e581-5688-48d2-9c5f-e20eca0da785,4,2,4,6 to 20 books in a year,26 - 29 anos,Feminino,Rio de Janeiro,Superior completo,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",5,5,5,3,5,3,4,4,5,5,5,5,"Alguns dos livros que me foi recomendado eu já li, no geral o app e bom ."
case 158,65a93727-808e-4712-9b11-d6160154ffcd,4,2,3,6 to 20 books in a year,22 - 25 anos,Feminino,São Paulo,Superior incompleto,União Estável,Parda,"Até R$ 813,00",5,5,4,4,4,5,4,5,4,5,5,5,
case 203,7e89aaa2-f94e-428b-8a06-0e49a261e4da,4,2,5,6 to 20 books in a year,34 - 37 anos,Feminino,São Paulo,Ensino médio completo,Casado(a),Preta,"De R$ 813,00 a R$ 1.805,00",5,4,5,4,2,5,4,5,2,5,4,5,
case 289,b7b8bd00-7a59-4f37-9abb-54c720af4223,5,2,1,1 to 5 books in a year,18 - 21 anos,Outro,Rio Grande do Norte,Ensino médio incompleto,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",2,4,1,2,3,4,2,2,2,2,3,3,
case 031,1a803b23-319c-4fa8-a389-da55b37b8fc1,5,2,3,1 to 5 books in a year,18 - 21 anos,Feminino,Minas Gerais,Superior incompleto,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",4,5,5,5,4,5,4,4,5,5,5,5,
case 224,8d1dbc93-647e-4682-a7c6-08d478a6d617,5,2,2,1 to 5 books in a year,22 - 25 anos,Masculino,Ceará,Superior incompleto,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",3,5,4,4,3,5,5,4,2,2,4,5,
case 251,9ee3f681-c02e-4f67-9d9a-be32fb6a1281,5,2,5,1 to 5 books in a year,22 - 25 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,4,4,5,4,3,4,4,5,5,4,5,
case 268,ab507706-ff26-485d-87eb-ad4b9a51c697,5,2,3,1 to 5 books in a year,22 - 25 anos,Feminino,Paraná,Pós-graduação completa,União Estável,Branca,"De R$ 813,00 a R$ 1.805,00",5,4,4,5,2,4,3,4,5,5,4,4,
case 387,faf58b19-0959-4f22-919d-4b16d4f9a3cf,5,2,1,1 to 5 books in a year,18 - 21 anos,Masculino,Rio Grande do Sul,Superior incompleto,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",4,5,4,5,5,5,3,4,4,5,5,5,
case 078,383dd698-f693-4d4b-a34a-53078814cca9,5,2,4,1 to 5 books in a year,30 - 33 anos,Feminino,Rio Grande do Sul,Ensino médio completo,Casado(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,4,5,4,5,3,5,5,5,4,4,4,
case 148,60044904-62a1-4a08-a9ab-e18c75cf4d02,5,2,2,1 to 5 books in a year,Mais de 40 anos,Feminino,Rio Grande do Sul,Ensino médio completo,Casado(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,4,4,5,5,5,5,5,5,5,5,Aplicativo ótimo!
case 357,e33a18f0-2883-44a9-8318-2c1e7fd460eb,5,2,3,1 to 5 books in a year,18 - 21 anos,Feminino,Pará,Superior incompleto,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,4,5,5,5,4,4,5,5,
case 058,2eaf8c79-7ce5-4725-abe3-b1e2c77f787d,5,2,4,20 to 50 books in a year,34 - 37 anos,Feminino,Pernambuco,Pós-graduação completa,Casado(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",2,2,3,1,1,1,1,1,1,1,3,4,"As opções foram poucas, deveriam deixar que o usuário pesquisasse o nome dos livros favoritos. e os mais lidos entrariam em votação, porém com opções mais amplas. A maioria dos livros era juvenis e não marquei esse item quando iniciei a pesquisa. Que tal começar sabendo do leitor e futuramente montar os dados para comparar leituras? Ou então separar por gêneros e dentro desses gêneros ter opções para marcar como lidos ou não? "
case 196,7a4301d1-f32c-42f5-b456-066a702090bf,5,2,5,20 to 50 books in a year,26 - 29 anos,Feminino,São Paulo,Ensino médio completo,Casado(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,3,2,2,3,4,2,1,2,3,1,3,
case 323,ce6828ce-e9dc-4678-9189-e2ef31afeecf,5,2,1,20 to 50 books in a year,Mais de 40 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Branca,Prefiro não declarar,4,4,2,1,1,1,1,1,1,4,2,4,
case 025,18927541-1a00-4f10-935c-64235d524aee,5,2,4,20 to 50 books in a year,22 - 25 anos,Feminino,Goiás,Ensino médio completo,Separado (a),Branca,"De R$ 813,00 a R$ 1.805,00",2,2,5,1,1,2,2,2,4,2,3,4,
case 077,37e9db70-9ea3-47e1-a48c-e4f8ed52d966,5,2,2,20 to 50 books in a year,18 - 21 anos,Feminino,Maranhão,Superior incompleto,Solteiro(a),Parda,"Até R$ 813,00",2,2,3,2,3,2,3,2,3,2,3,3,
case 106,4714f39c-a57b-4aa7-9898-8954cfd30b03,5,2,3,20 to 50 books in a year,26 - 29 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",2,2,2,2,2,2,2,2,2,2,2,2,
case 390,fc50f003-85b2-4373-8c12-725d510b619b,5,2,3,20 to 50 books in a year,26 - 29 anos,Masculino,Paraná,Superior completo,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",3,2,3,2,2,4,2,3,4,2,3,4,"Não sei se é porque sou muito indeciso, mas achei o número de livros sugeridos meio baixo, pois precisava escolher cinco dentre eles, acredito que aumentar o número de sugestões ajudaria um pouco, facilitaria as escolhas. Em linhais gerais, dá pra dizer que o aplicativo está cumprindo a proposta para o qual foi elaborado."
case 018,0e222833-5060-41ab-9387-d270d79950a5,5,2,3,20 to 50 books in a year,30 - 33 anos,Feminino,São Paulo,Superior completo,Casado(a),Preta,"De R$ 3.042,00 a R$ 5.449,00",4,4,2,1,1,1,5,4,5,5,4,4,
case 070,33e38098-573c-40d4-b3a6-c5c5b4a0c5ae,5,2,5,20 to 50 books in a year,22 - 25 anos,Feminino,Alagoas,Superior incompleto,Solteiro(a),Branca,"Até R$ 813,00",5,5,4,4,5,4,5,4,4,5,5,5,
case 107,4717a65b-dc82-404c-a2fb-af420be4ca3e,5,2,2,20 to 50 books in a year,26 - 29 anos,Feminino,Rio Grande do Sul,Superior incompleto,Casado(a),Parda,"De R$ 813,00 a R$ 1.805,00",3,4,3,4,4,1,4,4,4,4,4,3,"Como eu gosto de livro do gênero policial, suspense, (romance, fantasia, ficção não me atraí) então até mesmo em livrarias virtuais tenho dificuldade de encontrar livros do gênero. Mas o site no qual vi as recomendações é bem interessante e vou começar a usá-lo. Até no momento fico pesquisando recomendações na Amazon."
case 123,51f9fc29-c0d5-42f8-bda6-4767f701ece9,5,2,3,20 to 50 books in a year,22 - 25 anos,Feminino,Rondônia,Pós-graduação completa,União Estável,Parda,"De R$ 3.042,00 a R$ 5.449,00",3,4,4,3,5,3,4,4,5,4,4,5,
case 184,74e19b88-c8ec-481b-827c-2a456f4f295b,5,2,4,20 to 50 books in a year,26 - 29 anos,Feminino,Rio de Janeiro,Superior incompleto,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",4,5,5,4,2,4,4,4,5,4,4,5,Achei uma ótima idéia porém precisa de melhorias
case 189,78975c7c-6895-4515-a2d2-a94af2779a9c,5,2,3,20 to 50 books in a year,18 - 21 anos,Feminino,Santa Catarina,Superior incompleto,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,5,4,4,3,3,4,4,3,2,4,5,
case 208,818be23b-ec5f-4751-af0b-1e1fd347afd4,5,2,5,20 to 50 books in a year,18 - 21 anos,Feminino,Santa Catarina,Superior incompleto,Solteiro(a),Branca,"Acima de R$ 10.427,00",4,5,5,4,4,3,5,4,5,5,5,5,Seria interessante ter mais gêneros para escolher e ter resultados mais específicos 
case 237,9823f595-13e0-4e6f-8c7e-19805c6ad648,5,2,3,20 to 50 books in a year,22 - 25 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Branca,"De R$ 5.449,00 a R$ 10.427,00",5,5,4,4,2,4,2,4,2,2,4,5,O site poderia ser mais interativo
case 269,abe37382-80dd-4494-a5fe-c151cc5c06f5,5,2,2,20 to 50 books in a year,26 - 29 anos,Feminino,Paraíba,Ensino médio completo,União Estável,Parda,"De R$ 813,00 a R$ 1.805,00",5,4,5,5,4,5,5,4,3,3,5,5,Achei um aplicativo interessante e espero começar a usa-lo em breve 
case 372,f1b04357-2e8b-4723-8729-09b9f6631aed,5,2,4,20 to 50 books in a year,22 - 25 anos,Feminino,Santa Catarina,Ensino médio completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,5,5,3,3,5,5,4,4,5,5,5,. 
case 046,25d2dd4b-737f-4137-b7fb-fa79ca04793f,5,2,2,20 to 50 books in a year,22 - 25 anos,Feminino,Rio de Janeiro,Superior completo,Casado(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,4,5,4,5,3,5,5,5,5,5,5,
case 052,2c181b84-18fb-4104-9dae-7b17ebea2ace,5,2,3,20 to 50 books in a year,30 - 33 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,5,5,5,5,5,5,5,5,Gostei da recomendação
case 053,2c905cbd-45bd-42da-a3bb-be66858a2966,5,2,4,20 to 50 books in a year,34 - 37 anos,Feminino,Pernambuco,Ensino médio completo,Casado(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,5,5,5,5,5,5,5,5,
