decision_time_control,book_position_control,decision_time_treatment,book_position_treatment
23,8,33,8
23,11,34,8
23,12,34,16
23,16,34,9
23,10,34,21
23,0,34,16
23,12,34,22
23,3,34,6
23,21,34,12
23,6,34,11
23,7,34,5
23,12,34,6
23,13,34,10
23,14,34,3
23,16,34,11
23,18,34,19
23,2,34,10
23,8,34,7
23,17,34,6
23,5,34,22
23,1,35,21
23,9,35,14
23,4,35,9
23,13,35,10
23,3,35,2
23,8,35,19
23,20,35,18
23,16,35,20
23,14,35,14
24,11,35,8
24,14,35,8
24,10,35,5
24,8,35,5
24,16,35,8
24,5,35,3
24,2,35,8
24,2,35,13
24,18,35,9
24,21,35,16
24,10,35,11
24,17,35,9
24,4,35,8
24,5,36,0
24,13,36,0
24,12,36,0
24,12,36,4
24,12,36,17
24,9,36,11
24,6,36,22
24,8,36,20
24,10,36,22
24,22,36,6
24,13,36,22
24,8,36,9
24,4,36,9
24,2,36,10
24,14,36,2
24,11,36,20
24,18,36,8
25,8,36,6
25,8,37,10
25,20,37,8
25,14,37,14
25,5,37,8
25,12,37,18
25,14,37,4
25,10,37,21
25,6,37,0
25,13,37,11
25,13,37,0
25,2,37,3
25,9,37,14
25,16,37,8
25,17,37,22
25,3,37,10
25,12,37,10
25,4,37,6
25,10,37,18
25,16,37,9
25,6,38,6
25,21,38,8
25,8,38,6
25,6,38,5
25,14,38,16
25,7,38,6
25,2,38,7
25,15,38,5
25,10,38,18
25,15,38,3
25,4,38,16
26,18,38,13
26,15,38,9
26,16,38,2
26,16,38,1
26,10,38,4
26,4,38,6
26,9,38,20
26,13,38,14
26,7,38,20
26,18,39,16
26,14,39,12
26,20,39,1
26,20,39,19
26,8,39,10
26,20,39,20
26,2,39,4
26,13,39,11
26,10,39,5
26,3,39,4
26,13,39,0
26,18,39,15
26,15,39,14
26,16,39,9
26,0,39,4
27,16,39,6
27,12,39,14
27,8,39,6
27,18,39,10
27,17,39,21
27,0,39,13
27,18,39,19
27,12,39,4
27,14,40,16
27,5,40,7
27,10,40,11
27,5,40,18
27,8,40,21
27,8,40,12
27,22,40,14
27,16,40,0
27,14,40,16
27,8,40,10
27,6,40,10
27,12,40,14
27,13,40,12
27,8,40,0
27,16,40,13
27,3,40,18
27,22,41,7
28,3,41,13
28,3,41,10
28,15,41,7
28,10,41,19
28,12,41,9
28,17,41,21
28,4,41,13
28,16,41,23
28,18,41,5
28,20,41,3
28,21,41,1
28,3,41,3
28,10,41,8
28,14,41,13
28,11,41,6
28,0,41,22
28,10,41,14
28,12,41,11
28,17,42,13
28,22,42,11
28,10,42,11
29,18,42,12
29,19,42,4
29,10,42,1
29,0,42,0
29,13,42,0
29,16,42,5
29,4,42,19
29,12,42,3
29,16,42,1
29,1,42,12
29,22,42,14
29,16,42,4
29,14,42,2
29,13,42,5
29,13,42,17
29,3,42,16
29,6,42,8
29,6,43,8
29,12,43,11
29,2,43,13
29,19,43,12
29,4,43,14
29,19,43,6
29,18,43,14
29,16,43,10
29,0,43,17
29,15,43,7
29,5,43,11
29,14,43,22
29,19,43,17
29,8,43,3
29,14,43,6
29,9,43,16
29,16,43,18
29,19,43,12
30,13,44,14
30,8,44,0
30,14,44,11
30,20,44,6
30,22,44,10
30,12,44,17
30,12,44,14
30,12,44,10
30,13,44,12
30,10,44,2
30,0,44,8
30,14,44,7
30,12,44,1
30,14,45,10
30,5,45,0
30,13,45,20
30,14,45,13
30,12,45,22
30,0,45,5
31,11,45,10
31,0,45,10
31,0,45,18
31,2,45,13
31,5,45,10
31,1,45,4
31,18,45,13
31,16,45,3
31,22,45,5
31,6,45,12
31,3,45,18
31,12,45,20
31,0,46,6
31,18,46,13
31,1,46,1
31,7,46,23
31,10,46,20
31,7,46,20
31,1,46,10
31,12,46,20
31,2,46,4
31,16,46,18
31,18,46,10
31,10,46,21
32,18,46,18
32,14,46,12
32,21,46,12
32,6,46,20
32,19,46,20
32,10,46,16
32,13,46,20
32,1,46,6
32,6,47,1
32,20,47,0
32,16,47,16
32,10,47,4
32,21,47,13
32,14,47,21
32,10,47,10
32,8,47,13
32,8,47,23
32,5,47,16
32,9,47,18
32,18,47,22
32,8,47,16
32,10,47,6
32,4,47,0
32,14,47,0
32,12,47,20
32,10,47,22
32,20,47,5
32,6,48,9
32,22,48,19
32,5,48,0
33,7,48,13
33,1,48,17
33,18,48,10
33,16,48,5
33,18,48,6
33,18,48,23
33,16,48,22
33,12,48,19
33,12,48,4
33,6,48,20
33,14,48,10
33,4,48,10
33,20,48,21
33,2,48,2
33,20,48,2
33,14,48,21
33,3,48,21
33,12,48,10
34,17,48,10
34,19,49,3
34,6,49,4
34,15,49,6
34,10,49,16
34,16,49,22
34,16,49,18
34,22,49,22
34,13,49,17
34,7,49,23
34,13,49,16
34,16,49,16
34,18,49,19
34,8,49,8
34,6,49,20
34,18,49,21
34,22,49,1
34,18,49,10
34,21,49,0
34,14,49,10
34,2,50,1
34,12,50,22
34,8,50,12
34,20,50,12
34,8,50,12
34,22,50,10
34,12,50,16
35,22,50,17
35,2,50,4
35,8,50,9
35,8,50,1
35,5,50,8
35,11,50,19
35,12,51,19
35,20,51,9
35,16,51,11
35,18,51,0
35,17,51,11
35,11,51,8
35,2,51,14
35,15,51,22
35,18,51,9
35,14,51,9
35,18,51,18
35,8,51,23
35,20,51,16
36,12,51,12
36,23,51,6
36,13,51,14
36,14,51,16
36,7,51,5
36,22,51,20
36,19,51,0
36,0,51,1
36,16,51,10
36,2,52,16
36,16,52,12
36,12,52,10
36,6,52,4
36,11,52,20
36,8,52,6
36,8,52,5
36,5,52,5
36,10,52,8
36,7,52,13
36,4,52,19
36,12,52,12
36,8,52,23
36,18,52,1
36,8,52,22
36,12,52,16
36,7,53,16
36,14,53,5
36,11,53,18
36,3,53,18
36,6,53,4
37,0,53,20
37,7,53,9
37,1,53,7
37,9,53,20
37,12,53,0
37,10,53,13
37,19,53,5
37,10,53,22
37,20,53,19
37,17,53,17
37,11,53,16
37,16,54,16
37,21,54,9
37,2,54,2
37,13,54,3
37,0,54,14
37,12,54,10
37,20,54,7
37,23,54,4
38,13,54,3
38,18,54,18
38,21,54,22
38,8,54,4
38,22,55,2
38,16,55,18
38,1,55,3
38,0,55,22
38,16,55,18
38,21,55,12
38,2,55,6
38,18,55,6
38,4,55,17
39,21,55,0
39,16,55,12
39,22,55,23
39,10,55,18
39,15,55,10
39,6,55,16
39,2,55,17
39,17,55,18
39,20,55,9
39,21,55,22
39,16,55,16
39,5,55,11
39,16,56,21
39,20,56,17
39,22,56,2
39,13,56,6
39,23,56,4
39,20,56,1
39,6,56,20
39,20,56,18
40,14,56,10
40,11,56,6
40,14,56,22
40,23,56,12
40,6,56,18
40,18,56,14
40,16,56,15
40,13,56,22
40,9,56,18
40,10,56,8
40,13,57,5
40,9,57,8
40,12,57,1
40,6,57,18
40,22,57,3
40,14,57,10
40,14,57,6
40,8,57,9
40,18,57,6
40,0,57,16
40,13,57,18
41,16,57,11
41,23,57,20
41,18,58,8
41,8,58,5
41,22,58,6
41,3,58,22
41,7,58,8
41,12,58,0
41,20,58,16
41,12,58,17
41,2,58,8
41,2,58,12
41,3,58,19
41,13,58,20
41,2,58,12
41,16,58,17
41,7,58,18
41,15,59,8
41,21,59,10
41,2,59,8
41,7,59,12
41,6,59,16
42,0,59,16
42,4,59,0
42,12,59,21
42,11,59,21
42,4,59,1
42,16,59,18
42,22,59,11
42,8,59,12
42,23,59,19
42,13,59,0
42,2,59,3
42,8,59,5
42,22,59,18
42,6,59,16
42,14,59,21
42,10,59,17
42,11,59,19
42,4,59,10
42,2,59,18
42,19,60,14
42,22,60,11
42,22,60,18
42,9,60,10
42,21,60,14
42,2,60,12
42,14,60,16
42,15,60,0
43,15,60,20
43,20,60,10
43,2,60,18
43,9,60,18
43,2,60,16
43,4,60,22
43,20,60,6
43,14,61,15
43,20,61,16
43,2,61,20
43,16,61,23
43,16,61,14
43,13,61,20
43,22,61,4
43,14,61,10
44,20,61,22
44,12,61,0
44,8,61,8
44,4,61,3
44,22,61,21
44,4,61,2
44,5,61,2
44,5,61,8
44,15,61,12
44,17,61,14
44,4,62,2
44,3,62,2
44,22,62,10
44,0,62,23
45,0,62,10
45,20,62,10
45,5,62,4
45,11,62,22
45,0,62,14
45,8,62,16
45,22,62,22
45,18,62,21
45,10,62,9
45,12,62,5
45,22,62,8
45,23,62,6
45,2,63,11
45,0,63,6
45,2,63,12
45,17,63,6
45,12,63,14
45,0,63,17
45,17,63,9
45,10,63,23
45,8,63,16
45,18,63,2
46,12,63,23
46,15,63,23
46,1,63,22
46,6,63,7
46,19,63,14
46,12,63,10
46,10,63,1
46,12,63,20
46,0,64,12
46,16,64,18
46,18,64,2
46,15,64,19
46,18,64,1
46,22,64,8
46,22,64,17
46,6,64,18
46,4,64,4
46,22,64,11
46,2,64,18
47,22,64,22
47,18,64,1
47,8,64,2
47,2,64,12
47,0,64,22
47,2,65,9
47,2,65,20
47,21,65,8
47,16,65,23
47,10,65,16
47,14,65,2
47,10,65,12
47,20,65,12
47,6,65,20
47,5,65,20
47,0,65,13
47,22,65,10
48,20,65,15
48,12,65,23
48,9,66,1
48,8,66,15
48,14,66,8
48,20,66,0
48,22,66,6
48,14,66,5
48,22,66,3
48,4,66,16
48,20,66,3
48,11,66,0
48,3,66,8
48,12,66,16
48,4,66,9
48,21,66,13
48,5,66,2
48,12,67,1
48,10,67,11
49,6,67,1
49,18,67,0
49,6,67,17
49,22,67,8
49,0,67,1
49,22,67,18
49,16,67,0
49,10,67,16
49,16,67,20
49,2,68,10
49,16,68,19
49,3,68,0
49,19,68,12
49,17,68,5
49,3,68,1
49,0,68,8
49,3,68,14
49,0,68,23
50,4,68,22
50,15,68,20
50,13,69,17
50,13,69,18
50,4,69,2
50,9,69,13
50,18,69,21
50,10,69,6
50,20,69,14
50,21,69,18
50,20,69,6
50,18,69,3
50,21,69,9
50,18,69,17
51,22,69,13
51,5,70,18
51,22,70,17
51,7,70,22
51,9,70,11
51,16,70,23
51,1,70,20
51,14,70,21
51,10,70,18
51,4,70,10
51,21,70,14
51,22,70,22
51,8,70,23
51,22,70,15
51,22,71,22
52,1,71,8
52,23,71,21
52,13,71,9
52,2,71,6
52,16,71,7
52,23,71,2
52,8,71,6
52,12,71,2
52,22,71,2
52,6,71,18
52,0,71,23
