!case,User Unique ID,n_favorited,n_diversity,n_genres,Read an average of...,Age,Gender,State,Education level,Civil status,Racial identity,Average income,Q1. The app provided some really good recommendations. ,Q2. The items recommended to me are diverse. ,Q3. I am eager to read the book(s) I have put on the reading list ,Q4. The recommendations helped me discover new books which I find interesting. ,Q5: The amount of information available was sufficient to make the decisions ,Q6: I was surprised by some of the recommendations ,Q7. Finding books to put on my reading list was easy ,Q8: My overall satisfaction with my selection of books on my reading list is high ,Q9: The items recommended to me matched my interests. ,Q10. I understood why the items were recommended to me. ,Q11. My overall satisfaction with the app is high. ,"Q12. I like the app, and I would use it again in the future.",Open feedback
case 172,3ca3a501-2556-49b4-8239-027c8b06f0eb,5,2,1,50 to 100 books in a year,30 - 33 anos,Feminino,São Paulo,Ensino médio completo,Separado (a),Branca,"De R$ 813,00 a R$ 1.805,00",2,2,2,2,2,2,2,2,2,2,2,2,
case 173,bd758b84-87ab-4482-93f5-2ca143a19310,5,2,4,6 to 20 books in a year,22 - 25 anos,Feminino,Rio Grande do Norte,Superior incompleto,Solteiro(a),Branca,"Até R$ 813,00",3,2,3,3,2,2,2,2,2,2,2,3,
case 174,c6c609df-0a81-48d9-bcdd-c3317cb16a95,5,2,3,20 to 50 books in a year,18 - 21 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Parda,Prefiro não declarar,2,4,2,4,4,5,2,2,2,5,2,3,
case 175,d2452e99-6a8b-4a8f-b990-aafe4cb8c677,6,2,5,20 to 50 books in a year,22 - 25 anos,Feminino,São Paulo,Pós-graduação completa,Casado(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,4,5,4,4,4,1,2,2,1,2,4,
case 176,eca31cae-b759-490f-b4e4-e052476d2236,5,2,4,6 to 20 books in a year,30 - 33 anos,Feminino,Paraná,Ensino médio completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",2,2,2,2,1,1,1,2,1,1,2,2,"Para mim apareceu poucas opções de recomendações, mas usaria o app conforme melhorias."
case 177,03e1f0ba-aac1-496f-b52c-0012646254b5,5,2,5,6 to 20 books in a year,22 - 25 anos,Feminino,São Paulo,Superior incompleto,União Estável,Branca,"De R$ 1.805,00 a R$ 3.042,00",4,2,3,4,4,4,4,3,2,2,3,4,
case 178,09e37016-2c3e-4354-b4c1-7112bc5cf6cc,5,2,4,20 to 50 books in a year,22 - 25 anos,Feminino,Rio Grande do Norte,Ensino médio completo,Solteiro(a),Prefiro não declarar,"De R$ 1.805,00 a R$ 3.042,00",4,5,4,5,3,3,2,3,3,5,4,5,
case 179,1582e8ff-b712-4df9-a975-7c2272ae010f,5,2,1,6 to 20 books in a year,34 - 37 anos,Feminino,Paraná,Ensino fundamental completo,União Estável,Branca,"De R$ 813,00 a R$ 1.805,00",3,3,3,3,2,2,3,3,3,3,3,3,
case 180,22246d3e-411a-4a17-b9c5-7a80e4eee09b,5,2,3,20 to 50 books in a year,Mais de 40 anos,Feminino,São Paulo,Superior completo,Outro,Branca,"De R$ 1.805,00 a R$ 3.042,00",4,2,4,4,5,4,5,3,4,5,3,5,
case 181,2778131e-d4ae-4274-876a-8770cded4468,5,2,1,6 to 20 books in a year,Mais de 40 anos,Feminino,São Paulo,Superior completo,Casado(a),Parda,"De R$ 3.042,00 a R$ 5.449,00",4,4,5,4,2,3,4,3,2,3,2,4,Nenhum comentário.
case 182,2dd87872-38a0-441a-960a-2aecb4f89378,5,2,2,6 to 20 books in a year,30 - 33 anos,Feminino,Paraná,Superior incompleto,União Estável,Branca,"De R$ 3.042,00 a R$ 5.449,00",2,2,1,1,2,2,3,3,2,3,3,2,
case 183,37591357-9c6c-4e7d-a25e-2acb07ce4a08,4,2,3,6 to 20 books in a year,18 - 21 anos,Feminino,Paraná,Ensino médio completo,Solteiro(a),Branca,Prefiro não declarar,4,5,3,2,4,5,4,3,4,4,4,4,
case 184,3de5f416-de50-47c5-9f26-52d76e4d4f7b,5,2,3,6 to 20 books in a year,26 - 29 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Branca,"De R$ 5.449,00 a R$ 10.427,00",4,5,4,3,3,3,4,3,4,4,4,5,
case 185,4305874b-a350-41e5-9977-f46505ba1553,5,2,3,20 to 50 books in a year,34 - 37 anos,Feminino,São Paulo,Superior incompleto,Casado(a),Preta,"De R$ 1.805,00 a R$ 3.042,00",3,2,3,2,2,2,3,3,2,2,3,4,
case 186,4b65b468-2dd6-4e58-a7e0-e1f1d6caf2d1,5,2,3,20 to 50 books in a year,34 - 37 anos,Feminino,Distrito Federal,Superior incompleto,Casado(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",2,4,2,4,4,1,4,3,4,5,4,5,
case 187,58262bf5-7e67-4fbb-8d1a-0a39e8f0ec0b,5,2,1,20 to 50 books in a year,30 - 33 anos,Prefiro não dizer,Amazonas,Ensino médio completo,Outro,Prefiro não declarar,Prefiro não declarar,2,2,5,5,4,3,4,3,4,3,2,3,"Gostaria de recomendações mais voltadas para romances, os livros de Nicolas Sparks por exemplo. "
case 188,623d3257-7494-433a-9cc4-6024f91bf883,5,2,3,6 to 20 books in a year,22 - 25 anos,Feminino,Rio Grande do Sul,Superior incompleto,Solteiro(a),Branca,Prefiro não declarar,4,4,5,5,4,3,3,3,4,3,5,4,
case 189,7166c2c8-ffb8-458f-8a47-5553d7337710,5,2,2,6 to 20 books in a year,18 - 21 anos,Feminino,Paraná,Superior incompleto,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",2,3,,5,2,,3,3,2,3,4,4,"Acabei saindo e entrando novamente no aplicativo e alguns livros aviam mudado, talvez mudar a forma como eles são apresentados para gente, podendo ter, talvez, uma outra parte caso a primeira seleção não satisfaça. "
case 190,7e4306c6-ed1c-4ba5-9d7e-94e89c6b552d,3,2,3,6 to 20 books in a year,26 - 29 anos,Feminino,Pará,Pós-graduação completa,Outro,Parda,"De R$ 813,00 a R$ 1.805,00",3,5,1,4,2,3,4,3,4,5,3,3,
case 191,b3698fd6-93f5-4ead-8445-b7ddd60c9e37,5,2,4,50 to 100 books in a year,Mais de 40 anos,Feminino,Rio Grande do Sul,Ensino médio completo,Solteiro(a),Branca,Prefiro não declarar,3,2,2,1,2,3,1,3,2,1,3,3,
case 192,b500a1f8-8211-4a6c-b26b-8d5085d56a63,5,2,5,More than 100 books in a year,38 - 40 anos,Feminino,São Paulo,Ensino médio completo,Casado(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,4,4,4,3,4,4,3,4,1,3,5,
case 193,ea537638-4d95-40b8-964e-01eb7431c2fe,3,2,2,6 to 20 books in a year,Mais de 40 anos,Feminino,São Paulo,Pós-graduação completa,União Estável,Amarela,"Acima de R$ 10.427,00",4,4,3,2,4,3,2,3,2,5,4,4,"Foram poucas sugestões de livros; a grande maioria, inclusive o que favoritei, já havia lido. "
case 194,012bae56-2691-4125-8d7c-dddd7e4ab8ca,5,2,2,20 to 50 books in a year,18 - 21 anos,Feminino,Bahia,Ensino médio incompleto,Solteiro(a),Branca,"Até R$ 813,00",5,4,5,4,3,1,4,4,5,5,5,5,
case 195,0d48d69c-b924-4728-8358-1405ae29988e,5,2,3,6 to 20 books in a year,22 - 25 anos,Feminino,Rio Grande do Sul,Superior incompleto,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",4,4,4,4,5,2,4,4,2,2,4,4,
case 196,13069fb6-cad3-41bd-87cb-bc1143271542,5,2,1,More than 100 books in a year,26 - 29 anos,Feminino,Amazonas,Pós-graduação incompleta,Solteiro(a),Parda,"Acima de R$ 10.427,00",4,5,4,4,5,4,4,4,4,4,4,5,"Apareceram livros de terror em romance, livros de real crime. Creio que seja uma falha a ser melhorada nas tags de recuperação ou indexação das obras."
case 197,1cc7c89e-c8b9-4721-b6a8-95b9c4fb7f33,5,2,4,20 to 50 books in a year,26 - 29 anos,Feminino,Minas Gerais,Superior completo,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",4,4,4,5,4,5,5,4,4,4,5,5,
case 198,21e07610-667a-4941-a3e8-dc40667d456a,5,2,3,6 to 20 books in a year,22 - 25 anos,Feminino,Distrito Federal,Superior completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",4,4,4,2,3,4,5,4,5,4,4,5,
case 199,25ea3e0d-c7cd-4103-90b0-f25ab5516a7e,5,2,4,20 to 50 books in a year,34 - 37 anos,Feminino,São Paulo,Superior completo,Casado(a),Branca,"De R$ 5.449,00 a R$ 10.427,00",4,4,5,5,5,4,2,4,4,4,5,4,
case 200,319e3df6-a5a9-4e9f-af22-38da5a67d858,5,2,5,6 to 20 books in a year,38 - 40 anos,Feminino,São Paulo,Superior completo,União Estável,Preta,"De R$ 3.042,00 a R$ 5.449,00",4,4,5,4,4,3,5,4,4,3,4,5,
case 201,37a35ed6-8924-4ac1-b480-3f52e994c0ea,5,2,2,6 to 20 books in a year,22 - 25 anos,Feminino,Paraná,Ensino médio completo,Casado(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,4,5,5,5,5,4,5,5,4,4,
case 202,3c913479-0a87-4056-8b07-36d706de7688,5,2,2,6 to 20 books in a year,18 - 21 anos,Feminino,Espírito Santo,Ensino médio completo,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",4,4,5,5,4,3,3,4,4,3,4,4,
case 203,3e5f3d49-68df-4f23-a437-ff4e095ec129,5,2,3,50 to 100 books in a year,26 - 29 anos,Feminino,São Paulo,Superior completo,Casado(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",4,5,4,5,4,4,4,4,4,3,4,4,
case 204,45a0f05f-7bd2-4f1a-9a26-2e546704d2e0,5,2,1,20 to 50 books in a year,Mais de 40 anos,Feminino,São Paulo,Superior incompleto,Casado(a),Amarela,"De R$ 3.042,00 a R$ 5.449,00",4,4,5,5,4,3,5,4,5,4,5,5,Parabéns pelo aplicativo.
case 205,5355478e-c9d7-4dbb-b310-0bcf31a897c4,5,2,3,6 to 20 books in a year,22 - 25 anos,Feminino,Paraná,Superior completo,Solteiro(a),Preta,"De R$ 1.805,00 a R$ 3.042,00",4,5,5,5,5,2,4,4,2,5,4,5,Seria interessante um numero maior de recomendações de livros.
case 206,6a122773-5a4f-4c3c-99ec-fd613ba08702,5,2,4,1 to 5 books in a year,22 - 25 anos,Feminino,Minas Gerais,Ensino médio completo,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",4,4,4,5,4,4,5,4,2,2,4,4,
case 207,80976a3e-1da6-43eb-8bce-d2f49f90714b,5,2,3,More than 100 books in a year,Mais de 40 anos,Feminino,Rio de Janeiro,Superior completo,Casado(a),Parda,"De R$ 3.042,00 a R$ 5.449,00",4,4,4,4,2,2,4,4,5,5,4,4,
case 208,9d38afec-5822-496d-9522-171764433654,5,2,3,6 to 20 books in a year,22 - 25 anos,Feminino,Rio de Janeiro,Superior completo,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",4,4,5,4,2,4,5,4,4,4,4,4,
case 209,b077c8a7-ea1a-479a-8a47-cce254b3cc1e,5,2,3,20 to 50 books in a year,18 - 21 anos,Feminino,Espírito Santo,Ensino médio completo,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",4,5,5,4,3,5,4,4,3,4,4,4,
case 210,b6c07f7d-4974-4618-9da6-c705fe4f2663,5,2,3,50 to 100 books in a year,22 - 25 anos,Feminino,Santa Catarina,Superior incompleto,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",4,4,4,3,4,5,4,4,5,5,4,5,
case 211,be1ab5dd-b6f9-4ce2-8a58-b53c44572f65,4,2,3,6 to 20 books in a year,30 - 33 anos,Feminino,São Paulo,Superior completo,Casado(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,5,5,4,2,2,1,4,5,5,2,2,"Achei pouca as opções oferecidas, mesmo a categoria como “fantasia” ser gigantesca poucas opções de títulos foram apresentadas."
case 212,bea83569-ee77-494b-9a89-cfece0ea920b,5,2,3,50 to 100 books in a year,22 - 25 anos,Feminino,Goiás,Superior completo,Solteiro(a),Preta,"De R$ 1.805,00 a R$ 3.042,00",4,5,5,5,4,4,4,4,4,4,4,5,
case 213,bf24ea1c-dc77-409b-ae29-2166f3431b51,5,2,2,20 to 50 books in a year,30 - 33 anos,Feminino,São Paulo,Pós-graduação completa,Casado(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,5,4,4,5,3,5,4,4,5,4,5,
case 214,c1efffeb-938b-47aa-a4df-da84862c77a5,3,2,1,1 to 5 books in a year,30 - 33 anos,Feminino,São Paulo,Pós-graduação completa,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",4,3,5,5,4,4,5,4,5,5,3,4,
case 215,cf99dc99-a5c8-4169-b2af-9b784576449d,5,2,1,6 to 20 books in a year,18 - 21 anos,Feminino,Rio Grande do Norte,Superior incompleto,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",2,5,5,5,5,4,2,4,4,3,4,4,"O aplicativo em si é interessante. Muitas vezes é difícil escolher um livro e talvez com mais perguntas sobre o que o leitor deseja encontrar em uma estória, vocês conseguissem melhorar a qualidade do app. Por exemplo, se eu escolho o gênero romance, o que eu quero quero encontrar em um livro: uma história mais dramática com um final possivelmente não muito feliz? Um romance de época? Um romance adolescente? Como eu quero que sejam os protagonistas? Enfim, esse questionário seguido melhoraria ainda mais o aplicativo que já tem um intuito muito bom."
case 216,cfe71940-ea97-4eaf-99d3-55e6f98842bd,5,2,5,50 to 100 books in a year,22 - 25 anos,Feminino,Paraná,Ensino médio completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,5,4,4,5,5,4,4,4,4,5,4,Adorei a recomendação de vários livros
case 217,da0a6a5b-d6a2-453f-877b-757dfbbefff2,3,2,4,50 to 100 books in a year,34 - 37 anos,Feminino,São Paulo,Superior completo,Casado(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,4,4,4,3,4,4,4,4,4,4,4,
case 218,e273384a-359d-4bac-98f1-38547ec6930b,5,2,2,More than 100 books in a year,18 - 21 anos,Feminino,Rio Grande do Sul,Superior incompleto,Solteiro(a),Branca,"De R$ 5.449,00 a R$ 10.427,00",4,5,4,5,4,5,5,4,3,4,5,5,Gostei bastante das sugestões de livros 
case 219,e375047f-075a-4eb1-a95c-625a2cd685cb,5,2,4,6 to 20 books in a year,22 - 25 anos,Feminino,Bahia,Superior incompleto,Solteiro(a),Preta,"Até R$ 813,00",4,5,5,5,5,5,3,4,3,3,5,5,Gosto de recomendação de autores brasileiros e de livros que não são tão conhecidos.
case 220,f061b88b-8e70-412f-bcb3-ed2983742e80,3,2,3,20 to 50 books in a year,18 - 21 anos,Feminino,Paraná,Superior incompleto,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",5,4,5,5,4,5,5,4,5,5,5,5,
case 221,f576fab5-ef7e-4887-97e1-3c41a1fa541b,5,2,2,More than 100 books in a year,38 - 40 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",5,,4,4,5,3,4,4,5,,4,5,Ciente
case 222,f6045b9d-f33c-4686-91f5-0773252967d3,5,2,4,1 to 5 books in a year,34 - 37 anos,Feminino,Mato Grosso,Superior completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,4,4,5,5,5,4,4,4,2,4,5,opção para busca de algum  livro poderia estar mais visível
case 223,f721e787-8344-4641-a73a-8b9b09c0f4ef,3,2,1,More than 100 books in a year,38 - 40 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",5,4,5,4,4,3,4,4,4,4,4,4,
case 224,fba653ee-aa67-42dc-aca1-39adee3a54f2,5,2,2,6 to 20 books in a year,18 - 21 anos,Feminino,Rio Grande do Sul,Superior incompleto,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,4,5,4,5,4,4,4,5,5,
case 225,ff70778b-38cc-491e-8513-fa370d1c443a,5,2,4,20 to 50 books in a year,26 - 29 anos,Masculino,São Paulo,Ensino médio completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,4,4,4,4,4,4,4,4,4,4,4,
case 226,0002fcbd-fe0c-4b71-99b6-d24f99a89dbc,5,2,4,50 to 100 books in a year,26 - 29 anos,Masculino,Pará,Pós-graduação completa,Solteiro(a),Preta,"De R$ 5.449,00 a R$ 10.427,00",4,4,4,4,4,4,5,5,4,3,4,4,
case 227,06cd865a-2d73-4bf6-a26c-6bb8bf4af3d1,6,2,2,50 to 100 books in a year,26 - 29 anos,Feminino,Santa Catarina,Pós-graduação incompleta,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,5,4,5,4,5,4,5,4,4,4,5,"Talvez a inclusão de uma barra de pesquisa, e a possibilidade de incluir comentários sobre os livros"
case 228,09b376ac-4767-4721-931e-29828f839863,5,2,4,6 to 20 books in a year,38 - 40 anos,Feminino,São Paulo,Superior incompleto,União Estável,Branca,"De R$ 813,00 a R$ 1.805,00",4,4,5,5,4,4,5,5,4,4,4,4,
case 229,0bc5d4c0-f242-452f-bb35-1d57997314e0,5,2,1,20 to 50 books in a year,38 - 40 anos,Feminino,São Paulo,Ensino fundamental completo,Casado(a),Preta,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,5,5,5,5,5,5,5,5,
case 230,0d759a30-6ea2-405c-880e-0a4b58d631d4,5,2,2,20 to 50 books in a year,30 - 33 anos,Feminino,Santa Catarina,Pós-graduação completa,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",5,5,3,5,4,4,4,5,4,4,3,4,
case 231,0db139a9-7f5f-4bba-be4b-484ae966c706,5,2,1,20 to 50 books in a year,26 - 29 anos,Feminino,São Paulo,Pós-graduação completa,Casado(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",3,4,5,5,5,,5,5,5,5,5,5,
case 232,0dfdb347-acc2-40ab-be04-276f6fdd1ad9,5,2,4,50 to 100 books in a year,22 - 25 anos,Feminino,Mato Grosso do Sul,Superior incompleto,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,4,3,5,5,5,5,5,4,
case 233,1222973b-2816-47b2-8ee6-8bc4f0c9b625,5,2,3,20 to 50 books in a year,22 - 25 anos,Feminino,Paraná,Pós-graduação incompleta,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",5,5,4,4,5,2,5,5,5,5,4,5,
case 234,168352bb-b2f8-4931-a913-e1e24e9fc5f8,5,2,3,6 to 20 books in a year,26 - 29 anos,Feminino,Minas Gerais,Superior completo,Casado(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,5,5,4,5,4,5,5,5,5,5,5,
case 235,208eacf6-5989-4be8-8497-b370741b9bdc,5,2,4,6 to 20 books in a year,34 - 37 anos,Feminino,Santa Catarina,Ensino médio completo,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",5,4,5,5,4,5,4,5,4,5,5,5,
case 236,21fbfac6-36d7-4b88-bca0-5a267b0bc474,5,2,3,20 to 50 books in a year,22 - 25 anos,Feminino,Rio de Janeiro,Ensino médio completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,4,5,3,5,5,5,5,5,5,
case 237,2822dcbc-aa27-4fe8-a621-90088833d184,5,2,2,6 to 20 books in a year,30 - 33 anos,Feminino,São Paulo,Superior completo,Casado(a),Parda,Prefiro não declarar,5,4,3,5,5,5,4,5,5,5,5,5,
case 238,31623465-7db5-4b27-b2d3-79dd0ed9e8ea,6,2,3,6 to 20 books in a year,38 - 40 anos,Feminino,Distrito Federal,Superior completo,Casado(a),Parda,Prefiro não declarar,5,5,5,5,4,5,5,5,5,4,5,5,
case 239,31887466-bfce-42dd-ae20-e702f9068db5,5,2,4,6 to 20 books in a year,22 - 25 anos,Feminino,Minas Gerais,Pós-graduação incompleta,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",5,4,4,4,4,5,5,5,4,4,4,5,
case 240,31a17177-9577-42ef-acfd-b80c14424a19,5,2,2,6 to 20 books in a year,22 - 25 anos,Feminino,Bahia,Ensino médio completo,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",5,5,5,4,5,4,5,5,5,5,4,5,
case 241,31a69185-1eda-4670-9c9c-e06b7fb1a4c1,5,2,2,6 to 20 books in a year,30 - 33 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Branca,"Até R$ 813,00",3,5,5,4,4,4,5,5,4,4,4,4,"Achei boas recomendações, alguns não tinha conhecido ainda."
case 242,3c08f55e-68a5-40f7-8352-ecbed2ab0c92,5,2,2,50 to 100 books in a year,26 - 29 anos,Feminino,Goiás,Ensino médio completo,Solteiro(a),Parda,"De R$ 3.042,00 a R$ 5.449,00",4,4,5,5,4,4,5,5,4,4,4,5,
case 243,401db632-d558-4236-b5df-c3c9618eb92c,5,2,2,6 to 20 books in a year,18 - 21 anos,Feminino,Alagoas,Superior incompleto,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,4,5,5,5,5,5,5,5,5,
case 244,40e68132-a58f-4eba-a28e-efad545d9462,5,2,5,20 to 50 books in a year,22 - 25 anos,Feminino,São Paulo,Pós-graduação incompleta,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,5,5,5,5,5,5,5,5,
case 245,4ce3df7c-de6d-4bbd-a6eb-e5325e756c75,5,2,2,50 to 100 books in a year,22 - 25 anos,Feminino,Minas Gerais,Ensino médio completo,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",4,5,4,5,5,5,5,5,4,5,5,5,
case 246,4f14244d-dfc2-4cac-ba61-3f2fd4e6ee95,5,2,4,20 to 50 books in a year,18 - 21 anos,Feminino,Goiás,Ensino médio incompleto,Solteiro(a),Amarela,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,5,3,4,5,5,5,5,5,
case 247,4fc52de6-b87e-4e9b-a493-cc8fda84c54e,4,2,1,20 to 50 books in a year,Mais de 40 anos,Feminino,Rio de Janeiro,Ensino médio completo,União Estável,Parda,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,5,5,5,5,5,5,5,5,
case 248,595fe7bf-6015-4b10-a46f-3b2c6b3969e1,5,2,5,20 to 50 books in a year,30 - 33 anos,Feminino,São Paulo,Ensino médio completo,União Estável,Parda,"De R$ 3.042,00 a R$ 5.449,00",5,5,5,5,5,5,5,5,5,5,5,5,
case 249,5efe8240-f46a-4252-822b-60ec32b05c6a,3,2,5,20 to 50 books in a year,18 - 21 anos,Feminino,Pará,Superior incompleto,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,5,5,5,5,5,5,5,5,"Gostei do aplicativo, surpreendeu minhas expectativas, até acrescentei as recomendações na minha lista de livros para ler."
case 250,63e2c032-794e-412c-86d3-d831098853c7,5,2,2,20 to 50 books in a year,18 - 21 anos,Feminino,Espírito Santo,Ensino médio completo,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",5,4,5,4,3,3,5,5,5,4,4,5,"Eu surpe amei, ainda sou nova nessa fase de Booktok , por isso ainda não li vários livros e amei o app,  me ajudou a colocar mais livros no carrinho kkkkk ."
case 251,6867e724-3b3e-4223-9d9c-69c403a969db,5,2,3,50 to 100 books in a year,26 - 29 anos,Feminino,São Paulo,Superior incompleto,União Estável,Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,4,,5,2,5,5,5,5,5,5,
case 252,70075c01-a613-49c6-a4a7-e087482655ba,5,2,4,50 to 100 books in a year,18 - 21 anos,Feminino,Paraná,Ensino médio completo,União Estável,Branca,"De R$ 3.042,00 a R$ 5.449,00",5,4,5,4,5,5,3,5,5,5,5,5,
case 253,75090a7e-1491-406b-a4c1-be43903316f4,5,2,5,6 to 20 books in a year,22 - 25 anos,Feminino,São Paulo,Ensino médio completo,União Estável,Preta,"De R$ 813,00 a R$ 1.805,00",5,4,5,5,5,4,5,5,5,3,5,5,
case 254,79eb2443-b004-4ee8-b2e2-0faae8ea7aa6,5,2,2,More than 100 books in a year,26 - 29 anos,Feminino,Santa Catarina,Superior completo,Casado(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,5,4,2,2,2,4,5,5,5,5,5,
case 255,7d90596e-bfe3-4305-82b9-a2f0f2c805e2,5,2,1,6 to 20 books in a year,22 - 25 anos,Feminino,Rio Grande do Sul,Superior completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,5,5,5,4,4,4,5,4,4,5,5,
case 256,83514428-d622-43f8-8fb0-3137c45cad22,5,2,2,20 to 50 books in a year,18 - 21 anos,Feminino,Ceará,Superior incompleto,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,5,4,5,4,4,5,5,5,5,5,5,
case 257,891a92fe-7429-41b2-87bb-fdb0f51fd3e0,5,2,2,6 to 20 books in a year,18 - 21 anos,Feminino,Maranhão,Superior incompleto,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,4,5,5,5,4,4,5,4,4,5,5,
case 258,90c27d95-9611-484b-a99e-3a13141a5bdb,5,2,4,6 to 20 books in a year,18 - 21 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,5,4,5,5,5,5,5,5,
case 259,95d45c20-813a-492e-8171-43f77279c35e,5,2,4,6 to 20 books in a year,18 - 21 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,4,5,3,5,5,5,5,5,5,"A forma de recomendação é interessante por intercalar o gosto do leitor e, de acordo com suas preferências novos gêneros e títulos são selecionados para o usuário alcançar novos gostos"
case 260,96a3c1c6-7ec5-4867-9aee-93988b04bbe6,5,2,3,50 to 100 books in a year,26 - 29 anos,Feminino,Rio Grande do Sul,Superior incompleto,União Estável,Branca,"De R$ 1.805,00 a R$ 3.042,00",4,4,5,4,4,4,5,5,4,5,4,5,
case 261,9a7d5c7a-d489-4718-bc71-34db3e74c26c,5,2,3,6 to 20 books in a year,22 - 25 anos,Feminino,Paraná,Pós-graduação completa,União Estável,Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,5,4,5,5,5,5,5,5,Aplicativo maravilhoso!!!
case 262,a2a01a5a-995d-475a-84b6-cac752c86eb1,5,2,1,20 to 50 books in a year,Mais de 40 anos,Feminino,Rio de Janeiro,Pós-graduação completa,Solteiro(a),Branca,Prefiro não declarar,4,4,5,4,4,4,4,5,4,4,4,4,
case 263,a2f0ee22-366f-4196-a814-f8708a0fd330,5,2,3,6 to 20 books in a year,18 - 21 anos,Masculino,Paraná,Superior incompleto,Solteiro(a),Preta,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,2,5,2,5,5,4,5,5,"Adorei as recomendações, alguns eu tenho vontade de ler há algum tempo, mas ainda não tive a oportunidade comprar. Outros eu conheci no aplicativo e tenho uma grande vontade de ler. Parecem ser bastante interessante."
case 264,ad1c3d39-3d3e-480c-abb8-381067dbbbf4,5,2,4,50 to 100 books in a year,26 - 29 anos,Feminino,São Paulo,Superior incompleto,União Estável,Branca,"De R$ 1.805,00 a R$ 3.042,00",4,5,4,5,4,5,5,5,4,5,5,5,
case 265,b622d6c8-e3f6-4ad5-9918-7c8c175d13b9,5,2,4,6 to 20 books in a year,26 - 29 anos,Feminino,Piauí,Pós-graduação completa,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",3,4,5,3,5,5,5,5,5,5,5,5,
