!case,User Unique ID,n_favorited,n_diversity,n_genres,Read an average of...,Age,Gender,State,Education level,Civil status,Racial identity,Average income,Q1. The app provided some really good recommendations. ,Q2. The items recommended to me are diverse. ,Q3. I am eager to read the book(s) I have put on the reading list ,Q4. The recommendations helped me discover new books which I find interesting. ,Q5: The amount of information available was sufficient to make the decisions ,Q6: I was surprised by some of the recommendations ,Q7. Finding books to put on my reading list was easy ,Q8: My overall satisfaction with my selection of books on my reading list is high ,Q9: The items recommended to me matched my interests. ,Q10. I understood why the items were recommended to me. ,Q11. My overall satisfaction with the app is high. ,"Q12. I like the app, and I would use it again in the future.",Open feedback
case 032,28fec572-bc84-40e0-b17e-011fa7d9d955,5,0,3,More than 100 books in a year,26 - 29 anos,Feminino,Bahia,Pós-graduação completa,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",5,5,4,4,5,1,4,5,5,5,4,4,
case 033,2b69de8d-56cb-4b95-86b0-2769ea0809e0,1,0,4,6 to 20 books in a year,18 - 21 anos,Feminino,Minas Gerais,Ensino médio completo,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",5,4,4,5,5,4,4,5,5,5,5,5,"O app é simples, fácil de mexer e ajuda muito com suas recomendações"
case 034,6699d3a9-a01f-4500-82d8-5f9552d60d9f,2,0,4,1 to 5 books in a year,26 - 29 anos,Masculino,Minas Gerais,Ensino médio completo,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",4,5,4,4,2,3,4,5,4,4,4,5,Senti falta de uma barra de pesquisa para fazer uma busca mais detalhada e achei que não variou muito a lista dos livros de atualização em atualização da pagina principal... Mas tem potencial. 
case 035,6aee8041-58b1-4645-b6eb-ed39ba71efc9,5,0,1,20 to 50 books in a year,30 - 33 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,4,5,5,5,5,5,5,5,5,4,4,
case 036,72b6282d-eeb8-4f1f-bc43-eff60de8638b,5,0,3,50 to 100 books in a year,26 - 29 anos,Feminino,Santa Catarina,Ensino médio completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,5,5,4,5,5,5,5,5,
case 037,751230db-94e3-4bb8-bed3-a425bc23f6f9,3,0,3,6 to 20 books in a year,18 - 21 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Parda,"De R$ 3.042,00 a R$ 5.449,00",5,5,5,5,5,5,5,5,5,5,5,5,Adoro recomendações 
case 038,771c2d65-bb12-4bbc-84bb-1ea2ae0a9c61,5,0,3,1 to 5 books in a year,30 - 33 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,5,5,4,5,4,5,5,4,5,5,5,"Gostei muito do aplicativo e realmente bate com o que gosto de ler. Por exemplo, já li mil beijos de garoto e amei e estava lá. Quero que esse aplicativo continue para que eu possa conhecer mais livros e não ficar limitada apenas nos que conheço. Muito obrigada pela oportunidade."
case 039,7f7661ee-75c8-4e89-bafe-4db7c385fcea,2,0,4,50 to 100 books in a year,18 - 21 anos,Feminino,Santa Catarina,Superior incompleto,Solteiro(a),Branca,Prefiro não declarar,5,5,5,5,5,5,2,5,4,5,5,5,
case 040,a1014574-4d60-4863-95b3-8584a30e2784,5,0,3,6 to 20 books in a year,22 - 25 anos,Feminino,Rio Grande do Sul,Superior completo,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",5,4,5,5,5,5,5,5,5,5,5,5,
case 041,b35a9703-f9ba-46ae-a812-5d99cfb50c7e,2,0,3,20 to 50 books in a year,26 - 29 anos,Feminino,São Paulo,Pós-graduação incompleta,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,5,5,5,5,5,5,5,5,
